ID,Name(Romaji),Name(Localised),Gender,Type,Position,Alt Position,Element,Preferred Playstyle,Total Stats,usage_rate
1467,Hisatomo Kameishi,Lewis Brownie,Male,Player,DF,MF,Wind,Bond,663,0.0
1468,Nobutoshi Kiba,Connor Seuer,Male,Player,MF,DF,Fire,Breach,667,0.0
1469,Yurika Kenno,Kaya Haskell,Female,Player,FW,MF,Forest,Rough Play,665,0.0
1470,Tamami Kokado,Minnie Stratio,Female,Player,GK,MF,Mountain,Tension,667,0.0
1471,Chisaka Sawada,Elegance Stuckon,Female,Player,FW,MF,Mountain,Breach,665,0.0
1472,Taemi Seta,Odette Musetta,Female,Player,GK,MF,Forest,Justice,656,0.0
1473,Namie Takenouchi,Gertrude Choker,Female,Player,GK,MF,Mountain,Breach,656,0.0
1474,Hami Tsukamoto,Polly Targest,Female,Player,MF,DF,Fire,Tension,667,0.0
1475,Maika Teruhashi,Odessa Ryder,Female,Player,MF,DF,Wind,Justice,667,0.0
1476,Yaena Chidori,Robyn Weaver,Female,Player,GK,MF,Mountain,Justice,656,0.0
1477,Haine Tsukada,Tess Masters,Female,Player,FW,MF,Wind,Bond,665,0.0
1478,Arihito Naito,Cale Sticklin,Male,Player,FW,DF,Mountain,Tension,665,0.0
1479,Toshihiro Nozaki,Farris Stickman,Male,Player,DF,MF,Wind,Bond,663,0.0
1480,Hiromichi Funashima,Tim Personator,Male,Player,MF,DF,Forest,Tension,667,0.0
1481,Masahiro Herikawa,Sherlock Sagers,Male,Player,GK,MF,Forest,Rough Play,656,0.0
1482,Kohei Honda,Ryan Haywood,Male,Player,DF,MF,Fire,Rough Play,663,0.0
1483,Hisashi Yagi,Osier Twining,Male,Player,DF,FW,Mountain,Justice,663,0.0
1484,Kanehisa Yamauchi,Rock Scowlon,Male,Player,DF,MF,Wind,Counter,663,0.0
1485,Toshinori Wajima,Al Stringer,Male,Player,DF,MF,Fire,Breach,663,0.0
1486,Hiroshi Asai,Bill Fierce,Male,Player,MF,DF,Forest,Counter,667,0.0
1487,Nihachi Roboto,Rob Otts,Male,Player,GK,MF,Mountain,Counter,656,0.0
1488,Shingo Oshika,Chad Jowell,Male,Player,GK,DF,Mountain,Breach,656,0.0
1489,Yoshitomo Ozaki,Egon Omercer,Male,Player,GK,DF,Wind,Rough Play,656,0.0
1490,Masaya Kawakami,Luis Springs,Male,Player,GK,MF,Mountain,Rough Play,656,0.0
1491,Shinichiro Kataoka,Bruce Barkley,Male,Player,FW,DF,Fire,Breach,665,0.0
1492,Wataru Sora,Chip Spacek,Male,Player,GK,MF,Mountain,Justice,656,0.0
1493,Yasunori Saeki,Mason Tirell,Male,Player,DF,MF,Fire,Tension,663,0.0
1494,Suguru Shimogawara,Dale Riverhead,Male,Player,GK,DF,Forest,Tension,656,0.0
1495,Kokona Takada,Adelpha Lovelace,Female,Player,DF,MF,Wind,Tension,663,0.0
1496,Tomoyoshi Tagashira,Egon Timing,Male,Player,MF,FW,Mountain,Justice,667,0.0
1497,Hisashi Nakahara,Tony Frogge,Male,Player,FW,MF,Fire,Breach,666,0.0
1498,Akihito Nagasaka,Fred Punch,Male,Player,DF,MF,Fire,Counter,663,0.0
1499,Masakazu Nojima,Hannibal Whipp,Male,Player,DF,MF,Forest,Tension,663,0.0
1500,Shichiro Uchida,Luke Severin,Male,Player,MF,FW,Fire,Justice,667,0.0
1501,Takehiro Kawaguchi,Harry Keenan,Male,Player,FW,MF,Fire,Counter,665,0.0
1502,Hisanori Kishi,Nick Uman,Male,Player,FW,MF,Fire,Tension,665,0.0
1503,Jobu Kumagai,Mac Robat,Male,Player,FW,MF,Forest,Bond,665,0.0
1504,Takashi Kanbe,Ace Slider,Male,Player,GK,MF,Mountain,Justice,656,0.0
1505,Tsumugi Koto,Olivia Twist,Female,Player,FW,MF,Wind,Rough Play,666,0.0
1506,Toru Nishii,Wiley Blinks,Male,Player,FW,MF,Fire,Bond,666,0.0
1507,Raika Takahashi,Shona Shopbell,Female,Player,GK,DF,Wind,Justice,656,0.0
1508,Wakaba Tashiro,Crystal Clears,Female,Player,FW,MF,Forest,Breach,666,0.0
1509,Ikumi Noto,Beata Pummel,Female,Player,FW,MF,Fire,Tension,666,0.0
1510,Ikuo Fumizuki,Aya Strand,Female,Player,GK,DF,Forest,Rough Play,656,0.0
1511,Tiara Honjo,Tara Gaudier,Female,Player,DF,MF,Fire,Breach,663,0.0
1512,Takumi Makiguchi,James Hearson,Male,Player,MF,DF,Forest,Rough Play,667,0.0
1513,Kie Matsumura,Anne Somnia,Female,Player,DF,MF,Forest,Breach,663,0.0
1514,Shiina Miyaike,Pearl Wann,Female,Player,DF,MF,Fire,Breach,663,0.0
1515,Hideshi Mukai,Hugh Dunnit,Male,Player,GK,FW,Mountain,Justice,656,0.0
1516,Ryo Muramatsu,Steve Squander,Male,Player,FW,MF,Fire,Breach,665,0.0
1517,Shinya Yasumori,Lehman Rind,Male,Player,MF,DF,Forest,Justice,667,0.0
1518,Teppei Yamamoto,Ian Fantile,Male,Player,DF,FW,Fire,Justice,663,0.0
1519,Motofumi Yoshikawa,Zach Putter,Male,Player,MF,FW,Fire,Breach,667,0.0
1520,Michihisa Ashida,Juan Word,Male,Player,GK,DF,Fire,Justice,656,0.0
1521,Shinya Ishibashi,Alex Copple,Male,Player,GK,MF,Mountain,Rough Play,656,0.0
1522,Toka Echizen,Jan Jared,Female,Player,DF,MF,Fire,Tension,663,0.0
1523,Akihisa Okamuro,Bigsby Pigford,Male,Player,FW,MF,Wind,Bond,666,0.0
1524,Chieri Koyama,Erica Hogland,Female,Player,FW,MF,Forest,Justice,665,0.0
1525,Niina Sakaguchi,Ramona Wriston,Female,Player,MF,FW,Mountain,Counter,667,0.0
1526,Hisahiko Shigeno,Mark Izushy,Male,Player,GK,MF,Mountain,Breach,656,0.0
1527,Kazuhisa Nitta,Vince Tinct,Male,Player,GK,MF,Wind,Breach,656,0.0
1528,Setsuka Tomioka,Daryl Floor,Female,Player,FW,MF,Fire,Bond,666,0.0
1529,Nayu Seizan,Becca Pilgreen,Female,Player,DF,MF,Forest,Tension,663,0.0
1530,Hideaki Ikeda,Langley Span,Male,Player,DF,MF,Mountain,Rough Play,663,0.0
1531,Ryohei Asakura,Swithin Sainte,Male,Player,MF,DF,Wind,Bond,667,0.0
1532,Yoshinori Umikawa,Dan Cawarry,Male,Player,FW,MF,Fire,Rough Play,665,0.0
1533,Tetsuro Ogino,Hans Freesing,Male,Player,DF,MF,Wind,Bond,663,0.0
1534,Masamitsu Saita,Peter Fakhoury,Male,Player,MF,DF,Wind,Justice,667,0.0
1535,Hidemitsu Sase,Steve Sancey,Male,Player,MF,FW,Forest,Tension,667,0.0
1536,Yuta Tada,Michael Gibe,Male,Player,DF,MF,Forest,Rough Play,663,0.0
1537,Mato Nakano,Skeet Blaston,Male,Player,MF,DF,Mountain,Rough Play,667,0.0
1538,Tadaharu Toriyama,Achilles Chinner,Male,Player,GK,DF,Mountain,Counter,656,0.0
1539,Fumikazu Niida,Scott Tickle,Male,Player,DF,MF,Mountain,Counter,663,0.0
1540,Fumitoshi Nakashima,Junior Cage,Male,Player,DF,MF,Forest,Counter,663,0.0
1541,Kazuyuki Nishimura,Terry Namby,Male,Player,FW,DF,Mountain,Rough Play,666,0.0
1542,Shigeo Niwayama,Joe Chugger,Male,Player,DF,MF,Fire,Rough Play,663,0.0
1543,Shota Hiura,Sonny Cinders,Male,Player,DF,MF,Wind,Bond,663,0.0
1544,Yasuo Hakusan,Cash Winfall,Male,Player,DF,MF,Fire,Tension,663,0.0
1545,Rui Hamamoto,Lou Fauntleroy,Male,Player,MF,FW,Mountain,Justice,667,0.0
1546,Bian Hasegawa,Carol Chanter,Female,Player,DF,MF,Fire,Breach,663,0.0
1547,Yuya Hayashi,Guy Kogan,Male,Player,DF,FW,Wind,Bond,663,0.0
1548,Kazuki Higasa,Max Motto,Male,Player,MF,FW,Forest,Counter,667,0.0
1549,Yasuhiro Hijii,Perry Postiche,Male,Player,GK,FW,Fire,Bond,656,0.0
1550,Ryutaro Hiraiwa,Nelson Levene,Male,Player,DF,MF,Mountain,Breach,663,0.0
1551,Kojiro Higuchi,Kurt Sermons,Male,Player,GK,MF,Mountain,Breach,656,0.0
1552,Ginji Hiramatsu,Ed Hartsell,Male,Player,DF,MF,Wind,Counter,663,0.0
1553,Mitsuhisa Fukuda,Chester Takes,Male,Player,MF,FW,Forest,Justice,667,0.0
1554,Shoji Funayama,Curtis Rebell,Male,Player,FW,DF,Fire,Counter,666,0.0
1555,Toru Hejima,Cody Fink,Male,Player,MF,FW,Forest,Rough Play,667,0.0
1556,Miu Honma,Siria Chattsley,Female,Player,FW,MF,Fire,Breach,665,0.0
1557,Shota Masaike,Darren Catt,Male,Player,FW,MF,Wind,Bond,666,0.0
1558,Tadatoki Masuda,Garry Planer,Male,Player,GK,MF,Mountain,Rough Play,656,0.0
1559,Yoshito Matsuura,Glenn Broth,Male,Player,DF,MF,Wind,Justice,663,0.0
1560,Yasuyuki Morikoshi,Harry Angue,Male,Player,DF,FW,Wind,Bond,663,0.0
1561,Yu Hatakeyama,Benny Terra,Male,Player,MF,FW,Forest,Tension,667,0.0
1562,Risa Maruyama,Jasmine Veile,Female,Player,FW,MF,Fire,Bond,665,0.0
1563,Neiro Yasojima,Belle Allure,Female,Player,MF,DF,Wind,Justice,667,0.0
1564,Hideto Yamada,Doug Lapp,Male,Player,DF,MF,Mountain,Tension,663,0.0
1565,Keisuke Yokoyama,Eric Motter,Male,Player,GK,DF,Mountain,Justice,656,0.0
1566,Kazuhito Yoshida,Gyll Netters,Male,Player,FW,MF,Wind,Rough Play,666,0.0
1567,Naomi Aiyama,Farrah Fairway,Female,Player,FW,MF,Fire,Tension,666,0.0
1568,Uika Abo,Jess Winkles,Female,Player,FW,MF,Mountain,Rough Play,666,0.0
1569,Nozomi Uno,Barbara Clector,Female,Player,DF,FW,Mountain,Breach,663,0.0
1570,Kunie Oshimoto,Marilyn Henshaw,Female,Player,GK,FW,Mountain,Rough Play,656,0.0
1571,Suiren Kajima,Nancy Pickney,Female,Player,DF,MF,Forest,Justice,663,0.0
1572,Shugo Kadooka,Clay Turnor,Male,Player,GK,MF,Fire,Tension,656,0.0
1573,Keisaku Kawataka,Horace Shlock,Male,Player,FW,MF,Fire,Tension,666,0.0
1574,Hayaka Kishikawa,Sabrina Passman,Female,Player,FW,MF,Mountain,Breach,665,0.0
1575,Hisashi Kugiya,Harpo Thermier,Male,Player,MF,DF,Wind,Breach,667,0.0
1576,Naoki Goseki,August Dyers,Male,Player,MF,DF,Fire,Counter,667,0.0
1577,Tomoya Saruwatari,Nev Puffer,Male,Player,DF,MF,Forest,Breach,663,0.0
1578,Hayuru Shirasaka,Elata Mighty,Female,Player,DF,MF,Fire,Bond,663,0.0
1579,Kazunori Soda,Ben Danna,Male,Player,FW,MF,Fire,Tension,666,0.0
1580,Tsukika Somemiya,Elsa Roamer,Female,Player,FW,DF,Mountain,Justice,666,0.0
1581,Yachiho Taketani,Archy Seago,Male,Player,FW,DF,Wind,Tension,666,0.0
1582,Toshinori Tamoto,Erhardt Knead,Male,Player,DF,MF,Mountain,Justice,663,0.0
1583,Hisako Shintaku,Lynne Mandel,Female,Player,MF,FW,Mountain,Rough Play,667,0.0
1584,Kenta Dogami,Craig Placid,Male,Player,FW,MF,Fire,Counter,666,0.0
1585,Taka Nakazato,Leon Morcey,Male,Player,DF,MF,Mountain,Tension,663,0.0
1586,Kenshi Hakuo,Dom Edarry,Male,Player,MF,DF,Mountain,Bond,667,0.0
1587,Atsunori Kyusei,Jay Asher,Male,Player,DF,MF,Mountain,Rough Play,663,0.0
1588,Kosaku Hanabuki,Toby Cohill,Male,Player,DF,MF,Fire,Rough Play,663,0.0
1589,Nunoka Fujieda,Nolene Ider,Female,Player,MF,DF,Forest,Tension,667,0.0
1590,Mineo Fuyama,Hoots Knightly,Male,Player,DF,MF,Wind,Tension,663,0.0
1591,Kazuo Hamada,Bash Beaton,Male,Player,FW,MF,Mountain,Rough Play,666,0.0
1592,Seiichi Manaka,Terry Toolan,Male,Player,FW,MF,Wind,Rough Play,666,0.0
1593,Atsushi Mitsuki,Callum Biddy,Male,Player,MF,GK,Mountain,Bond,667,0.0
1594,Natsuhiko Suzaku,Alan Sumner,Male,Player,DF,MF,Mountain,Bond,671,0.0
1595,Hoshihi Miwa,Trixy Wonder,Female,Player,MF,DF,Wind,Breach,667,0.0
1596,Koshiro Mochimaru,Colet First,Male,Player,DF,FW,Forest,Justice,663,0.0
1597,Shogo Yuki,Mac Gabbon,Male,Player,FW,DF,Forest,Justice,665,0.0
1598,Hisashi Yoshimi,Tip Bolster,Male,Player,DF,MF,Fire,Justice,663,0.0
1599,Kihachi Ryuyo,Draco Scallon,Male,Player,FW,MF,Wind,Justice,666,0.0
1600,Maana Awaguchi,Sofia Brashier,Female,Player,FW,MF,Fire,Bond,666,0.0
1601,Shizue Enami,Tam Boyish,Female,Player,MF,DF,Wind,Justice,667,0.0
1602,Nobuji Okumiya,Mat Halled,Male,Player,DF,MF,Fire,Bond,663,0.0
1603,Nobuaki Ishido,James Strang,Male,Player,FW,MF,Fire,Breach,666,0.0
1604,Yoshimasa Kiminami,Ian Watchen,Male,Player,MF,FW,Forest,Breach,667,0.0
1605,Mao Kurashima,Rose Snelgrove,Female,Player,DF,MF,Wind,Rough Play,663,0.0
1606,Hirokazu Sada,Bert Emmerson,Male,Player,FW,MF,Fire,Breach,666,0.0
1607,Shigeya Shuho,Irving Gusher,Male,Player,FW,MF,Wind,Breach,666,0.0
1608,Koya Shozu,Lionel Silent,Male,Player,GK,MF,Fire,Counter,656,0.0
1609,Tameo Daigami,Owen Rage,Male,Player,DF,MF,Mountain,Breach,663,0.0
1610,Kamui Chiri,Alice Nutty,Female,Player,DF,MF,Fire,Bond,663,0.0
1611,Goki Torihara,Conrad Jacket,Male,Player,MF,DF,Mountain,Tension,667,0.0
1612,Fukumi Nakane,Hilda Bronski,Female,Player,FW,MF,Fire,Tension,665,0.0
1613,Shinpei Nihira,Clint Peacock,Male,Player,MF,FW,Mountain,Breach,667,0.0
1614,Ryunosuke Haru,Pace Maker,Male,Player,FW,DF,Fire,Tension,666,0.0
1615,Yoko Fukukawa,Vanity Percy,Female,Player,GK,DF,Mountain,Justice,656,0.0
1616,Taketo Furuichi,Phil Pagoda,Male,Player,GK,FW,Mountain,Breach,656,0.0
1617,Yuiko Maki,Niki Colbeck,Female,Player,DF,MF,Fire,Counter,663,0.0
1618,Toshiharu Masaoka,Guy Pinnay,Male,Player,MF,FW,Forest,Bond,667,0.0
1619,Yasuhiko Miyamaru,Wayne Fluke,Male,Player,GK,DF,Mountain,Rough Play,656,0.0
1620,Hidefumi Shikauchi,Red Dayers,Male,Player,DF,MF,Mountain,Justice,663,0.0
1621,Masaichi Yoshikuni,Shay Diebold,Male,Player,FW,MF,Forest,Justice,666,0.0
1622,Shirotsugu Toranishi,Tigh Gerwhite,Male,Player,FW,MF,Mountain,Justice,665,0.0
1623,Akemi Jakuna,Cerise Crane,Female,Player,MF,FW,Fire,Breach,667,0.0
1624,Seishiro Ryudo,Drack Gorn,Male,Player,DF,FW,Wind,Breach,663,0.0
1625,Genso Takekita,Terry Pinn,Male,Player,GK,MF,Forest,Counter,656,0.0
1626,Terufumi Kakumaru,Justin Cush,Male,Player,GK,MF,Fire,Breach,656,0.0
1627,Kunizo Nakato,Bert McClure,Male,Player,DF,MF,Wind,Breach,663,0.0
1628,Zenchiku Wani,Richard Trogg,Male,Player,FW,MF,Fire,Rough Play,666,0.0
1629,Doko Masuyama,Shirly Quirk,Female,Player,DF,FW,Wind,Rough Play,663,0.0
1630,Akinobu Miyakita,Elias Lens,Male,Player,MF,DF,Forest,Justice,667,0.0
1631,Yasufumi Moritaki,Terry Dryden,Male,Player,MF,FW,Fire,Counter,667,0.0
1632,Katsumi Yoshi,Ardel Kernel,Male,Player,DF,MF,Mountain,Bond,663,0.0
1633,Kazuhiko Yanoura,Carl Belcher,Male,Player,GK,MF,Forest,Breach,656,0.0
1634,Hiroji Yoda,Mal Maroon,Male,Player,DF,MF,Wind,Tension,663,0.0
1635,Kensho Araba,Ralph Fary,Male,Player,FW,MF,Forest,Rough Play,665,0.0
1636,Yasushi Iitani,Floyd Spades,Male,Player,MF,FW,Mountain,Tension,667,0.0
1637,Keiji Kaizuka,Remy Diggun,Male,Player,DF,MF,Forest,Rough Play,663,0.0
1638,Daijiro Kawara,Bern Macmahon,Male,Player,MF,FW,Forest,Justice,667,0.0
1639,Kento Kurosawa,Wally Cooper,Male,Player,DF,MF,Forest,Tension,663,0.0
1640,Shitoshi Komatsu,Griff Hardcasel,Male,Player,FW,DF,Fire,Breach,666,0.0
1641,Shoji Satake,Pat Lubow,Male,Player,DF,MF,Forest,Counter,663,0.0
1642,Eika Shida,Wilma Morgan,Female,Player,GK,MF,Fire,Rough Play,656,0.0
1643,Ruru Segawa,Carys Chaparon,Female,Player,FW,MF,Wind,Tension,665,0.0
1644,Marimu Takae,Claire Hostess,Female,Player,FW,MF,Fire,Justice,666,0.0
1645,Erisa Takamine,Katy Punter,Female,Player,DF,FW,Forest,Tension,663,0.0
1646,Yasushi Tanokura,Pete Pimento,Male,Player,FW,MF,Fire,Justice,665,0.0
1647,Keika Chihara,Mary Hugland,Female,Player,GK,DF,Mountain,Justice,656,0.0
1648,Taisei Terukawa,Lee Screener,Male,Player,DF,FW,Forest,Rough Play,663,0.0
1649,Setsu Tomiyama,Camilla Textor,Female,Player,FW,MF,Wind,Justice,665,0.0
1650,Fumio Hamada,Bish Beaton,Male,Player,FW,MF,Mountain,Rough Play,666,0.0
1651,Tatsuhito Fukaya,Simeon Squareyes,Male,Player,FW,MF,Fire,Tension,665,0.0
1652,Jiro Hine,Stu Borneman,Male,Player,DF,MF,Forest,Bond,663,0.0
1653,Yasuo Masukawa,Herbie Garnet,Male,Player,GK,MF,Forest,Counter,656,0.0
1654,Shoji Ramoto,Arvin Inkwell,Male,Player,DF,MF,Wind,Breach,663,0.0
1655,Masahiko Asakubo,Rayce Sprinton,Male,Player,MF,FW,Wind,Tension,667,0.0
1656,Tenne Ikedo,Dreama Bartle,Female,Player,FW,MF,Fire,Rough Play,665,0.0
1657,Nemuko Ina,Jane Ledbelly,Female,Player,DF,MF,Forest,Counter,663,0.0
1658,Miei Kamizuru,Dory O'Bonn,Female,Player,DF,MF,Wind,Rough Play,663,0.0
1659,Sonoko Tetsukita,Selma Heaver,Female,Player,GK,DF,Wind,Justice,656,0.0
1660,Beniha Kuramochi,Kath Leaflin,Female,Player,DF,GK,Fire,Bond,663,0.0
1661,Miki Shigyo,Marg Shuttle,Female,Player,MF,DF,Fire,Rough Play,667,0.0
1662,Masafumi Takatsu,Duke Scrubine,Male,Player,GK,FW,Mountain,Rough Play,656,0.0
1663,Tomonori Tadokoro,Waylon Tripp,Male,Player,FW,MF,Wind,Tension,666,0.0
1664,Gunji Tsuno,Jim Bunner,Male,Player,GK,MF,Mountain,Justice,656,0.0
1665,Shinzaburo Terashita,Jon Izumo,Male,Player,FW,MF,Forest,Justice,666,0.0
1666,Takahito Torugawa,Del Brighton,Male,Player,FW,MF,Mountain,Bond,666,0.0
1667,Kaname Towa,Haden Safe,Male,Player,FW,MF,Fire,Counter,666,0.0
1668,Hirofumi Nanbu,Lisle Plotter,Male,Player,FW,DF,Wind,Rough Play,665,0.0
1669,Meari Hazuki,Fen Skates,Female,Player,FW,MF,Fire,Rough Play,665,0.0
1670,Tokika Hamana,Rhoda Dough,Female,Player,DF,MF,Forest,Counter,663,0.0
1671,Shigeaki Hisamoto,Neil Seating,Male,Player,MF,DF,Wind,Breach,667,0.0
1672,Otomi Fukudome,Flo Nighting,Female,Player,DF,MF,Wind,Bond,663,0.0
1673,Merii Mise,Elinor Maven,Female,Player,FW,DF,Forest,Tension,665,0.0
1674,Koan Ranbashi,Kay Gateley,Female,Player,FW,MF,Fire,Counter,665,0.0
1675,Etsuo Adachi,Dexter Caise,Male,Player,DF,MF,Wind,Tension,663,0.0
1676,Koine Arisawa,Serena Besse,Female,Player,MF,DF,Forest,Bond,667,0.0
1677,Kazushi Owaki,Adrian Heartly,Male,Player,DF,MF,Forest,Counter,663,0.0
1678,Chisen Muso,Cary Fearless,Male,Player,FW,MF,Fire,Bond,665,0.0
1679,Fumimune Rendai,Wally Waymire,Male,Player,DF,MF,Wind,Breach,663,0.0
1680,Akihito Byakko,Ted Autumn,Male,Player,GK,MF,Wind,Rough Play,667,0.0
1681,Kenshiro Katsuramoto,Boomer Smolen,Male,Player,GK,MF,Mountain,Rough Play,656,0.0
1682,Tomoki Kimishima,Hank Ershef,Male,Player,MF,DF,Forest,Counter,667,0.0
1683,Kiyoshi Kunigami,Tim Opener,Male,Player,DF,FW,Wind,Tension,663,0.0
1685,Sonoka Seike,Beth Doodle,Female,Player,MF,DF,Forest,Justice,667,0.0
1686,Hideo Daita,Lamar Bonesteel,Male,Player,MF,FW,Mountain,Counter,667,0.0
1687,Yukichi Takegami,Dom Round,Male,Player,DF,FW,Mountain,Counter,663,0.0
1688,Sadao Takeba,Chip Stocks,Male,Player,FW,MF,Mountain,Breach,666,0.0
1689,Akinami Danno,Blake Nailor,Male,Player,GK,MF,Forest,Counter,656,0.0
1690,Tokisa Dogaki,Dotty Hickman,Female,Player,MF,FW,Wind,Rough Play,667,0.0
1691,Yu Nagakura,Wright Tandem,Male,Player,DF,MF,Wind,Bond,663,0.0
1692,Kazushi Nimura,Shaun Bonnie,Male,Player,DF,FW,Mountain,Counter,663,0.0
1693,Morimichi Hiramoto,Andrew Hooper,Male,Player,FW,MF,Wind,Rough Play,666,0.0
1694,Noemi Fukuhara,Toya Boyde,Female,Player,DF,MF,Fire,Counter,663,0.0
1695,Moemi Futase,Taryn Shyder,Female,Player,FW,MF,Wind,Tension,665,0.0
1696,Hoshimi Hana,Jasmin Trier,Female,Player,DF,FW,Forest,Rough Play,663,0.0
1697,Kazuya Yokochi,Dave Lung,Male,Player,GK,MF,Wind,Counter,656,0.0
1698,Masahiro Akasora,Teal Redsky,Male,Player,FW,MF,Fire,Breach,665,0.0
1699,Tadaki Midorigi,Truman Verdy,Male,Player,DF,MF,Forest,Breach,663,0.0
1700,Kosei Aoumi,Chance Cerulean,Male,Player,MF,DF,Wind,Rough Play,667,0.0
1701,Ai Momokawa,Amy Peach,Female,Player,MF,DF,Wind,Justice,667,0.0
1702,Zenzo Kiiike,Virgil Amber,Male,Player,GK,MF,Mountain,Tension,656,0.0
1703,Keiichiro Waki,Grant Stodgell,Male,Player,FW,MF,Fire,Counter,665,0.0
1704,Shigeru Akeyama,Payne Outler,Male,Player,DF,MF,Forest,Rough Play,663,0.0
1705,Tomio Kawanari,Malcolm Shirker,Male,Player,MF,FW,Wind,Counter,667,0.0
1706,Honami Takase,Hanna Slack,Female,Player,MF,FW,Wind,Tension,667,0.0
1707,Katsuhiro Arama,Dom Poppy,Male,Player,GK,DF,Mountain,Bond,656,0.0
1708,Yoshiho Taguchi,Portia Maricle,Female,Player,MF,DF,Forest,Justice,667,0.0
1709,Moto Taneda,Susan Doiley,Female,Player,MF,DF,Forest,Counter,667,0.0
1710,Yuho Tsuya,Hannah Breer,Female,Player,FW,MF,Wind,Tension,665,0.0
1711,Osamu Tojo,Phil Seebold,Male,Player,FW,MF,Wind,Justice,666,0.0
1712,Akari Tsutsui,Bobbie Tomey,Female,Player,FW,MF,Forest,Rough Play,665,0.0
1713,Etsuro Tokunaga,Randolph Lords,Male,Player,GK,DF,Mountain,Rough Play,656,0.0
1714,Koki Fukao,Robin Traylor,Male,Player,MF,FW,Fire,Counter,667,0.0
1715,Kazuho Matsutani,Fawn Blossom,Female,Player,DF,MF,Mountain,Counter,663,0.0
1716,Saeri Hosomi,Isabell Mish,Female,Player,MF,DF,Forest,Rough Play,667,0.0
1717,Kunio Yamaryu,Rudy Stemper,Male,Player,MF,FW,Forest,Tension,667,0.0
1718,Takae Hamanatsu,Betty Evenson,Female,Player,MF,FW,Mountain,Rough Play,667,0.0
1719,Tadao Abeshima,Harpo Kendrick,Male,Player,FW,MF,Fire,Bond,666,0.0
1720,Yozo Katsutake,Colin Glower,Male,Player,MF,FW,Fire,Bond,667,0.0
1721,Eikichi Oshio,Tailor Wilden,Male,Player,FW,MF,Fire,Breach,666,0.0
1722,Hiroki Sasayama,Sim Cebus,Male,Player,GK,MF,Forest,Rough Play,656,0.0
1723,Seigo Taiga,Sam Banks,Male,Player,MF,DF,Fire,Justice,667,0.0
1724,Tatsuhiko Tanno,Frank Homey,Male,Player,DF,MF,Mountain,Breach,663,0.0
1725,Shigekuni Nobayashi,Gregg Deremer,Male,Player,GK,DF,Fire,Counter,656,0.0
1726,Haruki Seiryu,Verne Spring,Male,Player,MF,FW,Fire,Bond,672,0.0
1727,Tadami Motoki,Bryan Klamm,Male,Player,MF,FW,Wind,Rough Play,667,0.0
1728,Masaki Wakaizumi,Colt Youngstein,Male,Player,DF,MF,Forest,Bond,663,0.0
1729,Sumiya Udo,Will Kilmon,Male,Player,MF,DF,Forest,Counter,667,0.0
1730,Tina Ashimine,Milly Vacey,Female,Player,FW,DF,Forest,Tension,665,0.0
1731,Shuichi Senkoji,Gary Primo,Male,Player,FW,MF,Fire,Counter,665,0.0
1732,Ryuji Komeiji,Bobby Duo,Male,Player,DF,MF,Forest,Bond,663,0.0
1733,Sankuro Fuanji,Stan Treece,Male,Player,MF,DF,Wind,Bond,667,0.0
1734,Yotsuha Izudera,Lillie Quattro,Female,Player,MF,FW,Wind,Rough Play,667,0.0
1735,Gorozo Buraiji,Eddy Pentaris,Male,Player,GK,DF,Mountain,Justice,656,0.0
1736,Genji Kameno,Candice Mell,Female,Player,MF,FW,Forest,Bond,667,0.0
1737,Gotetsu Gao,Alex Dauger,Male,Player,DF,MF,Mountain,Tension,663,0.0
1738,Yasuhisa Koro,Joe Divide,Male,Player,FW,MF,Wind,Justice,665,0.0
1739,Asao Shibarei,Sam Willing,Male,Player,DF,MF,Forest,Breach,663,0.0
1740,Mariko Guin,Mary Antoine,Female,Player,MF,DF,Forest,Tension,667,0.0
1741,Osamu Kuni,Edward Baron,Male,Player,FW,MF,Forest,Counter,665,0.0
1742,Mitsuru Shirokane,Tim Platton,Male,Player,MF,DF,Mountain,Breach,667,0.0
1743,Tanji Zaiho,Argento Salvage,Male,Player,DF,MF,Fire,Counter,663,0.0
1744,Kinsuke Ogo,Finn Geld,Male,Player,FW,MF,Forest,Tension,665,0.0
1745,Giichi Unamoto,Ian Moray,Male,Player,MF,DF,Wind,Breach,667,0.0
1746,Kuro Hiradome,Gil Holden,Male,Player,DF,GK,Wind,Counter,663,0.0
1747,Minori Atsuda,Doyle Palmer,Male,Player,GK,MF,Mountain,Breach,656,0.0
1748,Mika Kumosaka,Audry Orange,Female,Player,MF,FW,Fire,Justice,667,0.0
1749,Ringo Ao,May Apple,Female,Player,MF,DF,Mountain,Justice,667,0.0
1750,Tae Shirobe,Ginny White,Female,Player,FW,MF,Wind,Breach,665,0.0
1751,Kurobee Sakurajima,Angus Hogg,Male,Player,FW,DF,Forest,Breach,666,0.0
1752,Juri Kageki,Sabrina Carow,Female,Player,DF,MF,Wind,Counter,663,0.0
1753,Masao Yasukoku,Bob Beelzy,Male,Player,GK,DF,Fire,Tension,656,0.0
1754,Soichi Tomi,Patt Howell,Male,Player,DF,FW,Forest,Justice,663,0.0
1755,Ichiro Oi,Ol Factory,Male,Player,GK,DF,Mountain,Tension,656,0.0
1756,Yo Kabutenji,Tom Skipper,Male,Player,FW,MF,Wind,Tension,671,0.0
1757,Ru Fuai,Colin Binder,Male,Player,MF,DF,Fire,Counter,672,0.0
